Rotational speed [rpm],Process temperature [K],Torque [Nm],Tool wear [min]
1473,313.1,42.8,97
1481,313.2,40.0,100
1294,313.3,54.6,102
1630,313.2,29.3,104
1624,313.2,39.8,107
1437,313.1,48.3,110
1514,313.0,45.0,113
1694,313.1,31.4,116
1564,313.1,50.9,119
1514,313.1,41.1,121
1500,313.2,40.6,124
1615,313.2,37.8,127
1586,313.2,41.1,129
1732,313.3,28.5,132
1689,313.3,32.5,134
1586,313.2,34.6,139
1314,313.2,47.1,144
1569,313.2,35.8,146
1468,313.2,39.4,148
1412,313.2,47.5,150
1510,313.2,46.9,152
1410,313.2,42.4,155
1680,313.3,29.3,158
1472,313.1,45.5,166
1701,313.0,30.4,171
1480,313.0,39.9,176
1433,313.0,48.4,178
1514,312.9,34.3,180
1619,312.9,35.7,182
1378,312.9,45.6,184
1430,312.9,53.5,189
1367,312.9,49.9,192
1526,312.9,42.5,194
1419,312.8,47.9,196
1542,312.8,42.7,198
1313,312.9,53.9,202
1495,312.9,46.6,0
1407,313.0,42.1,5
1566,313.0,37.2,7
1550,313.1,30.9,9
1396,313.2,50.5,11
1540,313.3,39.0,14
1380,313.2,48.7,17
1608,313.1,31.1,20
1442,313.0,40.9,23
1408,313.0,45.3,28
1454,313.0,46.8,30
1666,313.1,34.6,33
1366,313.2,46.6,35
1464,313.2,44.9,37
1775,313.3,24.9,39
1482,313.4,43.8,41
1411,313.4,54.8,44
1410,313.3,51.6,47
1494,313.3,39.0,49
1590,313.2,43.4,52
1327,313.1,54.1,57
1969,313.1,20.8,59
1377,313.0,56.0,61
1541,313.0,45.9,64
1685,313.0,28.2,66
1465,313.1,41.0,69
1483,313.1,47.2,71
1570,313.2,40.7,74
1345,313.2,48.2,77
1608,313.2,40.6,79
1415,313.3,52.8,82
1470,313.5,45.8,85
1428,313.5,39.9,88
1627,313.5,32.2,91
1457,313.4,49.4,96
1475,313.4,40.2,98
1438,313.5,50.1,100
1437,313.5,47.2,102
1518,313.4,42.4,105
1587,313.5,33.6,108
1399,313.4,43.7,111
1469,313.5,44.6,113
1374,313.4,56.6,115
1519,313.3,36.7,117
1540,313.2,44.4,119
1394,313.3,51.6,121
1389,313.4,45.8,123
1732,313.5,26.2,126
1556,313.6,37.4,129
1441,313.6,43.7,131
1382,313.6,46.7,134
1481,313.8,44.9,136
2113,313.7,18.4,139
1401,313.8,53.9,142
1611,313.6,31.4,144
1512,313.6,33.4,146
1411,313.6,46.0,149
1424,313.6,43.7,151
1469,313.6,40.0,154
1684,313.5,29.8,156
1532,313.5,41.3,161
1557,313.5,37.3,164
1416,313.5,48.1,167
1802,313.5,25.4,170
2245,313.5,15.1,172
1434,313.4,42.5,175
1725,313.3,28.3,177
1668,313.3,35.7,180
1452,313.3,43.9,182
1415,313.3,50.0,184
1824,313.2,25.8,186
1438,313.3,45.5,188
1883,313.3,24.5,190
1735,313.4,28.9,192
1464,313.5,36.7,194
1489,313.6,40.3,196
1510,313.6,38.9,199
1585,313.6,32.1,202
1568,313.6,39.1,0
1525,313.5,42.0,2
1607,313.7,33.5,5
1670,313.7,32.9,7
1585,313.6,38.9,9
1569,313.6,38.4,11
1507,313.6,43.1,13
1452,313.5,41.5,15
1590,313.5,29.8,17
1409,313.6,56.0,19
2643,313.5,12.7,21
1644,313.4,31.7,23
1568,313.4,37.6,25
1625,313.3,37.3,27
1482,313.4,41.4,32
1397,313.3,49.6,34
1459,313.3,50.3,39
1490,313.4,44.0,41
1434,313.2,50.1,43
2028,313.2,18.9,45
1464,313.3,45.9,48
1713,313.4,23.5,50
1624,313.4,32.1,53
1421,313.4,43.4,56
1546,313.5,41.4,58
1639,313.4,32.7,63
1696,313.4,29.6,65
1470,313.3,39.9,70
1480,313.3,38.4,72
1329,313.4,54.5,75
1740,313.4,28.2,78
1739,313.5,28.1,80
1390,313.5,47.8,83
1740,313.4,23.7,86
1844,313.3,27.1,88
1388,313.1,53.2,91
1517,313.2,43.1,96
1450,313.1,42.8,101
1584,313.2,38.7,104
1720,313.1,28.7,106
1586,313.1,31.9,108
1901,313.0,22.5,110
1397,313.0,42.4,113
2012,313.0,21.1,115
2354,313.0,15.0,117
1648,313.1,35.7,119
1632,313.2,30.6,121
1427,313.2,46.9,123
1452,313.2,48.0,126
1416,313.2,46.0,128
1310,313.1,62.9,130
1408,313.1,39.8,132
1668,313.1,34.4,137
1551,313.0,36.8,140
1517,313.0,36.0,142
1570,312.9,35.8,147
1428,312.8,53.3,152
1503,312.8,40.0,154
1416,312.8,58.7,156
1396,312.7,47.3,158
1335,312.7,51.1,161
1671,312.6,30.5,163
1989,312.7,22.4,166
1468,312.7,43.3,168
1711,312.6,27.6,170
1488,312.7,41.3,175
1664,312.7,29.3,178
1507,312.7,38.5,180
1466,312.6,42.5,183
1433,312.5,53.6,185
1397,312.5,45.7,187
1429,312.6,43.3,189
1572,312.7,37.2,192
1532,312.7,42.7,194
1316,312.7,51.8,197
1420,312.8,47.9,200
1589,312.9,37.2,203
1633,313.0,32.9,207
1626,313.0,31.4,209
1665,313.1,29.6,0
1350,313.2,47.2,2
1590,313.2,31.9,5
1437,313.2,53.9,7
1403,313.0,48.3,10
1440,313.1,41.1,12
1343,313.1,61.4,14
1790,313.1,26.7,17
2117,313.1,18.6,22
1458,313.1,42.2,25
1381,312.9,57.8,27
1450,312.9,45.3,29
1461,312.9,50.1,31
1511,312.9,41.0,33
1394,313.1,45.4,36
1499,313.0,42.3,38
1457,313.0,44.1,40
1753,313.0,29.0,42
1694,313.0,28.0,44
1683,313.1,28.4,46
1496,313.1,47.4,48
1721,313.1,34.8,50
1593,313.0,31.6,52
1575,313.0,38.3,54
1465,313.0,41.0,56
1405,313.1,38.3,58
1902,313.0,21.6,60
1422,312.9,39.9,63
1332,312.9,52.9,66
1307,312.9,54.3,68
1322,313.0,59.5,71
1547,313.0,40.3,73
1897,313.1,23.6,75
1403,313.0,51.9,77
1393,313.0,51.6,80
1482,313.0,38.5,82
1572,312.9,44.7,84
1544,312.9,36.9,87
1492,313.0,46.1,89
1513,312.8,35.8,92
1449,312.8,43.9,94
1877,312.8,22.3,96
1376,312.8,53.4,98
1883,312.9,23.3,100
1518,312.8,38.7,103
1438,312.9,42.8,106
1389,312.9,54.1,109
1504,312.9,44.8,111
1275,312.9,64.4,113
1534,313.0,39.7,115
1396,313.0,38.2,117
1395,313.1,44.1,120
1617,313.0,30.9,122
1423,313.1,41.2,124
1606,313.0,34.0,126
1501,312.9,44.0,128
1618,312.9,30.4,130
1522,313.0,35.8,133
1480,312.9,41.4,135
1469,313.0,39.9,137
1381,313.2,52.4,140
1525,313.2,41.9,145
1732,313.2,29.6,147
1523,313.1,39.8,150
1422,313.1,42.4,152
1506,313.2,46.9,154
1531,313.2,39.4,159
1507,313.3,34.3,161
1526,313.3,40.7,164
1406,313.3,52.1,166
1567,313.3,35.0,168
1464,313.4,49.1,171
1442,313.4,48.5,174
1336,313.2,47.8,176
1379,313.2,50.2,178
1406,313.1,48.6,183
2130,313.1,18.1,185
1355,313.1,49.1,188
1710,313.2,26.5,190
1309,313.1,55.8,193
1491,313.1,37.2,195
1481,313.2,44.1,197
1425,313.1,49.3,199
1680,313.2,29.1,201
1612,313.2,31.7,206
1530,313.3,34.8,211
1481,313.2,42.6,213
1427,313.0,43.0,0
1460,312.9,49.8,2
1873,312.9,23.5,7
1566,312.9,32.6,9
1701,312.8,30.8,12
1710,312.8,27.2,14
1689,312.8,33.1,16
1637,312.7,32.9,19
1496,312.6,39.0,21
1402,312.7,47.0,23
1363,312.7,45.5,26
1576,312.7,49.9,28
1357,312.7,55.3,31
1399,312.7,48.4,34
1526,312.8,30.8,37
1694,312.7,27.3,40
1420,312.7,49.1,42
2116,312.7,16.7,45
1406,312.9,41.9,48
1456,313.0,45.5,51
1588,312.9,31.9,53
1448,312.8,44.5,55
1403,312.7,46.2,57
1405,312.6,51.6,62
1505,312.4,38.9,68
1663,312.4,33.7,71
1482,312.6,44.4,73
1674,312.5,32.7,76
1594,312.7,32.8,79
1393,312.7,49.3,82
1404,312.8,55.8,84
1375,312.8,45.7,89
1607,312.8,38.4,92
1360,312.8,50.8,94
1524,312.8,39.4,96
1534,312.7,35.5,98
1262,312.7,63.8,100
1623,312.6,34.6,102
1642,312.7,33.6,104
1622,312.8,35.1,107
1530,312.9,34.5,110
1590,312.8,36.3,113
1589,312.7,34.0,116
1462,312.6,37.5,118
1328,312.5,49.8,120
1692,312.6,29.0,125
1968,312.5,20.6,130
1827,312.6,24.2,132
1397,312.6,47.1,137
1463,312.6,44.0,140
1643,312.7,30.7,142
1281,312.6,57.0,144
1518,312.5,39.9,146
1601,312.6,35.3,148
1548,312.6,36.4,150
1404,312.6,40.6,152
1766,312.5,26.7,157
1667,312.5,30.0,160
1507,312.5,37.9,163
1627,312.4,37.1,168
1435,312.3,47.7,173
1509,312.3,46.8,175
1809,312.3,25.0,180
1515,312.3,40.8,183
1530,312.3,34.9,185
1336,312.3,57.5,187
2030,312.4,19.1,192
1550,312.4,36.9,194
1446,312.4,41.7,196
1494,312.3,37.5,198
1651,312.4,27.0,200
1698,312.4,33.8,202
1504,312.3,40.3,204
1421,312.4,46.0,206
1754,312.3,26.9,209
1469,312.2,42.0,214
1433,312.2,50.0,216
1432,312.3,49.0,218
1366,312.3,49.1,221
1483,312.3,47.2,223
1572,312.2,34.4,228
1481,312.2,40.2,230
1473,312.3,42.6,232
1529,312.4,36.8,237
1523,312.4,39.7,239
1416,312.3,42.7,241
1923,312.4,23.9,244
1421,312.3,48.5,0
1858,312.3,25.4,2
1422,312.5,46.1,4
1444,312.4,48.7,9
1360,312.4,47.8,11
1954,312.4,24.8,13
1628,312.4,33.0,15
1433,312.4,44.2,17
1417,312.5,51.5,19
1462,312.6,39.4,22
1328,312.6,59.9,24
1527,312.5,36.4,26
1534,312.3,34.3,31
1410,312.4,50.3,33
1660,312.3,30.3,36
1386,312.4,45.8,38
1398,312.4,41.6,40
1321,312.3,53.4,42
1512,312.3,34.2,44
1566,312.3,36.6,46
1422,312.4,44.5,49
1647,312.3,31.8,52
1377,312.2,45.5,54
1775,312.2,27.9,56
1554,312.3,42.0,58
1423,312.4,51.9,60
1453,312.4,47.3,62
1590,312.4,34.4,64
1694,312.5,28.4,66
1462,312.5,43.4,68
1392,312.4,46.2,70
1550,312.5,45.5,72
1629,312.5,30.4,74
1524,312.5,42.1,76
1679,312.5,30.9,79
1394,312.6,46.4,82
1683,312.5,32.1,85
1626,312.5,30.5,87
1698,312.5,30.0,89
1392,312.6,42.9,94
1353,312.7,51.8,97
1426,312.7,46.8,99
2024,312.7,19.9,102
1648,312.8,32.1,104
1511,312.9,40.1,107
1465,312.8,44.1,109
1551,312.7,41.8,111
2329,312.8,15.1,113
1435,312.8,41.9,115
1361,312.7,48.8,120
1553,312.7,35.8,122
1451,312.6,42.1,125
1461,312.5,40.2,127
1895,312.6,23.5,129
1567,312.6,32.9,132
1602,312.5,33.7,135
1514,312.6,42.1,138
1453,312.5,49.1,140
1526,312.4,36.1,142
1339,312.3,52.1,145
1889,312.3,22.8,148
1561,312.4,34.8,150
1659,312.4,33.1,152
1424,312.4,49.5,155
1426,312.3,44.7,157
1383,312.4,51.4,160
1764,312.3,29.9,162
1439,312.2,42.5,164
1585,312.2,35.5,167
1346,312.3,61.2,170
1386,312.3,57.8,172
1369,312.2,51.8,174
1378,312.1,46.9,176
1336,312.2,46.8,179
1445,312.1,42.0,181
1763,312.1,26.5,184
1611,312.2,34.1,186
1564,312.1,32.1,188
1478,312.1,36.0,191
1781,312.0,28.5,196
1782,312.1,26.8,198
2000,312.1,21.9,200
1826,312.0,25.3,203
1344,312.1,51.0,206
1520,312.2,43.0,208
1611,312.1,39.9,210
1499,312.1,35.0,215
1350,312.2,58.6,2
1334,312.4,50.9,5
1376,312.4,57.1,8
1368,312.4,49.5,10
1357,312.5,55.0,12
1924,312.5,24.0,17
1551,312.5,40.0,20
1903,312.5,21.2,23
1417,312.3,48.7,26
1601,312.1,35.2,31
1543,312.1,37.5,33
1439,312.1,52.3,35
1657,312.0,29.3,37
1458,312.2,51.0,42
1746,312.2,27.4,44
1677,312.2,30.5,46
1520,312.1,39.9,48
1367,312.2,55.1,50
1509,312.2,36.5,52
1418,312.1,51.4,54
1958,312.1,20.3,56
1682,312.2,30.9,58
1452,312.2,50.3,60
1828,312.0,24.0,63
1484,312.0,41.5,65
1674,312.0,32.2,70
1448,311.9,49.5,72
2023,311.8,19.1,74
1452,311.9,47.4,77
1496,312.0,45.0,79
1397,311.9,46.9,82
1453,311.9,39.1,84
1524,311.9,34.8,86
1633,311.9,30.9,89
1363,312.0,45.7,91
1520,311.9,44.9,94
1532,311.9,38.8,96
1384,311.8,50.9,99
1539,311.8,39.9,101
1355,311.8,50.1,104
1504,311.7,37.3,107
1476,311.8,46.6,110
1721,311.7,26.9,112
1494,311.7,37.1,114
1465,311.7,43.5,117
1648,311.8,30.0,122
1879,311.8,23.0,124
1482,311.7,39.0,127
1493,311.8,38.4,132
1433,311.8,42.2,134
1400,311.7,41.6,136
1255,311.8,59.0,138
1471,311.7,45.6,140
1357,311.6,44.2,142
1453,311.7,41.2,147
1540,311.7,28.9,149
1605,311.8,35.2,152
1374,311.9,52.4,154
1508,311.9,42.3,159
1366,311.9,47.3,162
1579,312.0,35.7,167
1306,311.9,59.7,172
1521,312.0,40.2,174
1411,312.0,44.2,177
1357,312.0,42.0,179
1436,312.0,43.5,184
1553,311.9,40.1,187
1451,312.0,43.2,189
1541,311.9,37.9,192
1341,311.7,46.3,194
1648,311.7,32.1,197
1640,311.7,31.5,199
1416,311.8,46.1,202
1671,311.9,29.9,204
1457,312.0,45.5,206
1445,312.0,54.8,0
1534,312.1,38.6,3
1508,312.0,36.9,5
1492,312.1,47.7,7
1562,312.0,37.9,10
1545,312.0,36.4,12
1738,312.2,25.3,14
1305,312.0,49.1,16
1477,312.0,39.7,18
1457,312.0,43.4,23
1455,312.1,40.4,28
1574,312.2,38.7,30
1695,312.2,27.1,32
1458,312.2,38.8,34
1454,312.1,47.6,37
2052,312.0,18.9,40
1673,312.0,29.9,42
1578,311.9,29.9,44
1642,312.0,29.1,46
1557,311.8,31.5,49
1481,311.9,42.9,52
1566,311.8,37.6,54
1298,311.9,57.5,57
1340,311.9,59.4,60
1574,312.0,33.8,63
1437,311.9,46.7,65
1354,311.9,48.0,67
1598,311.9,35.5,69
1944,312.0,21.4,71
1538,312.0,36.7,74
1501,312.0,37.0,77
1441,312.1,52.1,79
1652,312.0,31.0,81
1487,312.1,36.6,84
1605,312.2,33.9,86
1334,312.1,54.7,88
1340,312.2,57.8,90
1513,312.2,37.8,92
1510,312.2,41.4,94
1729,312.2,23.6,96
1745,312.2,25.5,98
1623,312.3,31.6,101
1378,312.4,50.1,104
1407,312.4,41.2,107
1674,312.3,29.5,109
1486,312.3,42.4,112
1483,312.3,38.8,114
1624,312.2,28.8,117
1480,312.3,41.4,125
1645,312.4,29.6,129
1932,312.3,21.9,132
1533,312.3,38.5,134
1292,312.2,54.4,136
1571,312.2,40.6,139
1578,312.3,36.3,141
1469,312.2,36.9,143
1728,312.1,24.4,146
1603,312.1,32.5,148
1597,312.1,39.8,153
1688,312.1,32.0,155
1405,312.2,51.4,157
1615,312.2,32.9,159
1515,312.2,36.8,162
1376,312.2,52.8,164
1447,312.2,47.5,166
1353,312.2,56.5,168
1502,312.1,47.3,171
1447,312.0,45.5,173
1487,312.0,46.1,175
1519,312.1,38.1,178
1668,312.1,28.7,180
1420,312.1,51.6,182
1473,312.1,37.3,184
1495,312.0,38.8,186
1574,312.0,42.0,188
1383,312.0,51.3,190
1591,312.0,29.4,192
1644,311.8,37.2,195
2370,311.8,14.7,198
1401,311.9,44.9,203
1414,311.9,51.6,205
1456,312.0,46.3,208
1447,312.0,45.7,210
1727,311.8,26.5,213
1495,311.7,36.8,215
1544,311.6,34.3,0
1387,311.5,47.3,2
1316,311.5,47.2,4
1794,311.5,26.1,7
1372,311.4,55.1,9
1674,311.5,30.0,12
1477,311.4,41.7,15
1397,311.4,53.0,17
1616,311.5,34.0,19
1530,311.5,42.3,21
1539,311.4,35.1,24
1845,311.4,21.9,27
1430,311.4,43.1,29
2080,311.4,19.2,31
1432,311.4,45.3,33
1479,311.5,39.5,36
1424,311.5,45.2,39
1534,311.6,37.2,41
1701,311.6,26.2,46
1462,311.6,50.0,51
1393,311.7,42.5,53
1453,311.7,42.5,56
1565,311.8,37.8,59
1281,311.8,51.7,61
1584,311.7,36.2,63
1466,311.7,49.0,66
1386,311.6,50.5,69
1383,311.6,44.3,72
1441,311.6,53.9,74
1592,311.6,37.7,79
1594,311.6,36.8,82
1482,311.5,45.6,87
1658,311.6,31.4,89
2170,311.7,18.2,91
1423,311.7,44.6,93
1543,311.8,31.1,96
1435,311.8,44.8,98
1320,311.8,56.4,100
1313,311.9,55.7,102
1453,311.8,42.1,105
1508,311.8,45.7,108
1451,311.8,42.0,110
1595,311.9,34.6,112
1354,311.9,49.4,117
1265,311.9,59.8,119
1867,311.9,25.9,121
1497,311.9,41.6,123
1347,311.9,54.3,125
1544,311.7,43.2,128
1456,311.7,45.4,130
1335,311.8,52.7,135
1452,311.9,43.1,137
1448,311.8,43.4,141
1611,311.7,38.6,143
1556,311.7,38.6,145
1413,311.7,46.5,147
1545,311.6,35.9,152
1330,311.7,54.6,154
1596,311.9,38.0,156
1618,311.8,36.0,158
1597,311.9,35.8,160
1354,312.0,52.2,165
1746,312.0,28.1,167
1621,312.0,32.5,169
1398,312.0,43.3,171
1434,311.9,51.9,173
1443,311.8,43.4,175
1488,311.7,44.6,178
1475,311.8,48.0,180
1433,311.8,50.3,183
1557,311.8,34.1,185
1398,311.9,50.1,188
1559,311.8,34.4,191
1422,311.9,46.4,194
1463,311.8,35.7,197
1793,311.7,25.3,200
1872,311.6,20.4,202
1412,311.7,44.5,204
1487,311.8,43.2,206
1673,311.8,30.1,210
1439,311.9,36.6,212
1574,311.8,42.8,215
1281,311.7,48.8,0
1653,311.7,31.4,2
1535,311.7,38.3,5
1483,311.7,40.5,8
1414,311.7,47.0,11
1379,311.6,42.9,13
1482,311.5,42.6,16
1987,311.5,20.1,21
1635,311.5,31.6,23
1533,311.5,39.4,26
1576,311.7,34.0,28
1330,311.8,62.4,31
1981,311.8,21.8,36
1475,311.8,42.8,38
1804,311.8,25.0,43
1416,311.6,54.1,48
1727,311.5,27.7,50
1391,311.4,49.2,52
1366,311.5,52.3,54
1366,311.3,55.6,57
1501,311.3,40.8,59
1551,311.3,35.8,61
1522,311.3,35.6,63
1369,311.2,49.8,66
1334,311.2,52.3,68
1451,311.2,39.4,70
1589,311.2,37.9,75
1708,311.3,30.5,77
1413,311.2,42.6,79
1415,311.2,46.5,82
1421,311.3,45.9,85
1348,311.3,51.0,87
1408,311.2,42.9,89
1525,311.2,43.7,91
1706,311.3,29.9,93
1395,311.2,46.8,95
1602,311.1,34.3,100
1907,311.1,21.5,102
1325,311.1,49.2,104
1408,311.1,44.4,106
1489,311.1,41.4,108
1680,311.1,29.2,111
1517,311.2,42.4,113
1618,311.1,36.7,115
1455,311.1,39.8,118
1543,311.1,36.4,120
1399,311.1,41.8,125
1469,311.1,37.2,128
1521,311.2,36.7,130
1584,311.3,38.8,132
1443,311.5,43.3,134
1416,311.5,49.0,136
1563,311.2,34.5,139
1542,311.3,40.1,142
1624,311.3,31.6,145
1471,311.3,44.2,148
1492,311.5,40.8,150
1465,311.4,39.9,153
1399,311.1,55.1,156
1431,311.0,42.6,158
1600,310.9,39.0,160
1593,310.8,34.5,162
1469,310.9,44.7,164
1413,310.8,44.6,166
1490,310.8,38.0,168
1671,310.9,31.1,170
1365,310.9,46.5,172
1557,310.9,39.3,174
1440,310.9,45.4,177
1489,310.9,38.9,179
1733,311.0,25.7,182
1580,311.0,36.6,184
1856,311.0,21.9,189
1454,311.1,40.3,191
1495,311.1,36.3,193
1761,311.0,29.1,195
1402,311.0,47.5,197
1670,311.0,33.0,200
1582,311.0,35.6,202
1542,311.0,35.1,204
1539,311.0,36.9,206
1418,311.0,41.9,208
1723,311.1,27.6,210
1303,311.1,49.2,212
1463,311.0,50.2,214
1544,311.0,39.3,217
1596,311.0,37.2,219
1413,311.1,42.0,221
1492,311.1,41.2,223
1624,311.1,40.9,0
1504,311.1,39.1,2
1574,311.1,34.3,4
1438,311.2,42.4,7
1474,311.3,50.7,10
1675,311.2,32.1,12
1457,311.2,44.5,14
1434,311.3,49.8,16
1668,311.2,30.1,18
1550,311.1,39.7,20
1834,311.1,25.4,22
1476,311.2,36.5,25
1541,311.2,36.3,28
1581,311.1,30.9,31
1678,311.1,30.7,34
1355,311.2,50.6,37
1700,311.2,28.8,39
1462,311.1,37.1,41
1727,311.2,26.5,43
1674,311.3,33.3,46
1397,311.3,42.3,48
2323,311.3,15.9,50
1434,311.2,47.6,52
1560,311.1,35.3,55
1573,311.0,32.8,57
1798,310.9,22.3,59
1567,311.0,35.1,64
1416,310.9,53.3,66
1424,310.9,45.2,68
1598,310.9,35.9,71
1760,310.9,23.9,76
1348,311.0,44.5,78
1542,311.0,33.6,80
1566,310.9,33.1,82
1554,311.0,47.7,84
1470,311.0,40.6,86
1758,311.1,25.4,88
1486,311.0,36.5,91
1402,311.1,40.0,94
1459,311.1,45.1,97
1494,311.0,45.3,99
1731,311.1,27.9,101
2076,311.1,18.7,103
2055,311.1,16.8,105
1469,311.1,49.5,107
1504,311.0,42.6,109
1396,311.1,43.5,112
1660,311.1,33.8,115
1577,311.0,39.7,118
1426,311.1,52.1,121
1458,311.1,41.4,123
1533,311.0,45.8,125
1701,311.0,28.4,127
1434,311.1,49.6,129
1952,311.1,22.7,131
1469,311.1,36.9,133
1800,311.1,26.0,135
1438,311.1,43.0,137
1647,311.1,28.2,140
1494,311.1,41.9,142
1445,311.1,41.4,144
1507,311.1,38.6,149
1234,311.0,55.8,152
1634,311.0,32.6,155
1334,311.0,53.3,157
1472,311.1,44.5,159
1410,311.0,52.7,161
1597,310.9,37.9,164
1460,310.9,46.7,166
1274,310.8,55.7,169
1517,310.7,40.2,171
1300,310.7,57.2,174
1686,310.6,27.7,176
1485,310.7,41.0,181
1464,310.7,45.8,184
1598,310.6,35.4,186
1894,310.5,21.9,188
1330,310.5,59.0,190
1582,310.5,31.1,193
1533,310.3,35.6,198
1419,310.4,46.4,200
1526,310.3,36.3,205
1458,310.3,43.4,0
1288,310.4,64.0,3
1659,310.3,29.8,6
1479,310.2,52.3,9
1592,310.3,36.0,14
1532,310.2,38.7,16
1555,310.2,41.9,19
1341,310.2,52.6,21
1541,310.1,42.0,23
1414,310.3,50.6,25
1764,310.2,25.9,27
1336,310.3,57.1,29
1435,310.3,43.3,31
1537,310.3,35.0,33
1369,310.2,48.8,36
1619,310.1,31.3,38
1440,310.1,51.1,41
1649,310.1,30.5,43
1550,310.1,38.7,45
1471,310.2,45.2,48
1483,310.3,51.6,50
1336,310.4,54.4,52
1515,310.5,36.6,54
1373,310.5,47.4,56
1454,310.5,51.2,58
1646,310.5,34.5,63
1548,310.4,37.3,65
1462,310.5,41.3,68
1702,310.4,33.1,71
1409,310.5,60.9,73
1427,310.6,52.8,75
1450,310.7,43.4,80
1541,310.7,41.3,82
1484,310.6,38.0,84
1415,310.8,44.5,87
1496,310.8,46.4,90
1465,310.8,45.2,92
2113,310.8,18.5,95
1506,310.8,44.0,97
1689,310.8,28.9,100
1650,310.9,29.4,102
1563,310.8,33.8,104
1486,310.9,38.9,106
1732,310.9,25.7,109
1653,310.8,31.6,111
1535,310.9,37.1,113
1637,310.9,37.2,115
1533,310.8,38.5,117
1378,310.8,51.2,119
1606,310.7,33.5,121
1539,310.7,32.3,123
1728,310.8,26.3,125
1656,310.7,36.3,127
1631,310.8,30.5,132
1447,310.9,46.5,137
1396,310.8,49.3,142
1390,310.8,52.5,144
1348,310.8,56.0,146
1491,310.8,35.9,148
1520,310.8,37.6,151
1509,310.8,33.0,153
1445,310.8,46.6,155
1354,310.8,51.8,157
1488,310.7,39.4,159
1654,310.7,28.6,161
1378,310.6,51.5,166
1750,310.7,30.6,171
1448,310.6,46.3,173
1501,310.7,45.3,175
1654,310.7,32.0,180
1347,310.7,46.5,183
1486,310.8,37.1,186
1466,310.8,45.2,188
1346,310.8,52.0,193
1314,310.7,42.4,198
1440,310.7,52.5,200
1608,310.8,39.5,202
1296,310.8,58.2,204
1507,310.7,46.1,209
1343,310.7,51.6,211
1416,310.7,40.4,214
1288,310.6,47.2,216
1407,310.6,42.4,218
1608,310.4,39.2,221
1920,310.3,22.3,223
1386,310.2,48.2,225
1571,310.2,34.6,228
1613,310.2,36.9,231
1431,310.2,43.2,0
1380,310.2,47.3,5
1683,310.3,31.5,8
1529,310.2,36.2,10
1761,310.4,26.5,12
1570,310.5,38.3,14
2156,310.5,18.0,16
1349,310.6,54.5,19
1431,310.7,39.3,22
1931,310.6,22.0,24
1428,310.7,43.4,26
1564,310.8,36.2,31
1425,310.9,44.0,33
1597,310.8,30.5,38
1618,310.8,32.8,40
1520,310.8,38.0,45
1425,310.7,45.3,48
1398,310.9,38.2,50
1557,310.9,31.6,52
1519,310.8,43.9,55
1619,310.8,34.9,57
1814,310.8,21.4,59
1521,310.9,39.4,61
1369,310.9,51.2,63
1336,311.0,53.3,68
1403,311.0,48.3,70
1413,311.0,44.3,72
1472,310.9,47.6,75
1452,310.8,47.9,77
1397,310.7,53.7,80
1455,310.7,40.6,82
1754,310.8,27.7,84
1471,310.9,37.9,86
1389,310.8,48.1,88
1702,310.9,30.3,91
1401,311.0,54.6,94
1426,311.1,46.2,97
1496,311.0,38.3,99
1433,310.9,42.6,101
1438,311.1,46.6,103
1418,311.0,49.3,106
1580,311.0,36.6,109
1468,310.9,41.8,112
1522,310.9,41.7,115
1311,310.9,55.8,118
1316,311.0,56.5,120
1853,311.0,23.6,122
1556,311.0,38.8,127
1567,311.0,34.3,130
1546,311.1,37.7,133
1382,311.0,51.2,136
2003,311.0,20.2,138
1748,310.9,29.9,140
1518,310.8,40.1,142
1475,310.8,42.0,147
1634,310.8,29.2,149
1689,310.8,32.9,151
1636,310.9,35.3,153
2235,311.0,15.8,156
1615,311.1,35.6,158
1618,311.1,29.5,160
1407,311.2,53.0,165
1450,311.1,43.3,168
1889,311.1,23.8,170
1568,310.9,38.2,172
1804,311.0,25.8,174
1582,311.0,37.5,176
2047,310.9,17.9,178
1601,310.9,34.0,181
1615,310.9,32.0,183
1452,310.8,43.6,185
1695,310.8,30.2,188
1790,310.8,26.2,191
1533,310.8,39.3,194
1813,310.9,28.5,197
1492,310.9,36.7,199
1479,310.7,43.3,201
1371,310.7,44.7,205
1468,310.7,36.2,208
1517,310.7,41.7,210
1352,310.7,46.4,212
1389,310.7,50.0,214
1505,310.6,36.2,0
1538,310.6,36.7,3
1482,310.8,37.0,5
1599,310.8,33.0,7
1476,310.8,39.0,10
1509,310.7,37.5,12
1708,310.8,29.1,14
1412,310.7,57.5,16
1658,310.7,28.5,18
1375,310.8,57.2,20
1402,310.8,48.1,22
1452,310.7,47.3,25
1483,310.7,40.8,28
1477,310.8,38.4,31
1924,310.7,22.4,36
1609,310.7,28.7,39
1886,310.7,21.1,44
1616,310.6,29.6,47
1442,310.7,43.2,49
1407,310.8,45.1,51
1461,310.8,41.3,53
1522,310.9,46.2,56
1432,311.0,48.1,59
1438,311.0,49.0,61
1678,310.9,28.1,63
1514,310.9,38.7,66
1534,310.8,41.3,69
1486,310.8,41.2,71
1925,310.8,22.0,74
1724,310.8,30.0,76
1549,310.8,35.5,79
1457,310.9,47.7,82
1453,310.9,43.9,84
1578,311.0,44.4,86
1325,311.1,61.4,88
1471,311.1,39.3,91
1472,311.2,40.0,93
